,terms,docs
0,webcam,"[(0, 3), (2, 1), (13, 1), (14, 1), (33, 1), (38, 1), (48, 2), (81, 1), (82, 1), (84, 1), (85, 1), (86, 1), (104, 1), (105, 1), (106, 1), (107, 1), (113, 1), (114, 1), (115, 1), (122, 1), (123, 1), (124, 1), (154, 2), (155, 2), (156, 1), (157, 1), (160, 1), (161, 1), (176, 1), (200, 1), (205, 1), (206, 1), (207, 1), (208, 2), (220, 1)]"
1,comput,"[(0, 2), (1, 1), (3, 1), (4, 1), (6, 1), (7, 1), (13, 1), (14, 1), (15, 1), (19, 2), (20, 1), (22, 1), (24, 1), (30, 1), (33, 1), (34, 1), (37, 1), (38, 1), (39, 1), (40, 2), (41, 1), (42, 1), (43, 1), (44, 1), (45, 1), (47, 1), (48, 1), (49, 1), (50, 1), (51, 1), (52, 1), (53, 1), (54, 2), (55, 1), (56, 1), (57, 2), (58, 1), (59, 1), (63, 1), (65, 1), (66, 1), (67, 1), (68, 1), (70, 1), (71, 1), (72, 1), (73, 1), (74, 1), (78, 1), (91, 1), (92, 1), (93, 1), (94, 2), (95, 1), (96, 1), (97, 1), (98, 1), (101, 1), (102, 1), (103, 1), (120, 1), (125, 1), (126, 1), (127, 1), (128, 1), (129, 1), (132, 1), (134, 1), (135, 1), (136, 1), (137, 1), (141, 1), (147, 1), (148, 1), (149, 1), (150, 1), (152, 1), (153, 1), (163, 1), (164, 1), (165, 2), (166, 1), (169, 1), (170, 1), (179, 2), (180, 1), (181, 1), (184, 1), (185, 3), (186, 1), (187, 1), (188, 1), (195, 1), (197, 1), (199, 2), (200, 1), (201, 1), (203, 1), (205, 1), (208, 1), (210, 1), (213, 1), (214, 1), (216, 2), (217, 1), (219, 1)]"
2,2k,"[(0, 1), (46, 1), (108, 1), (109, 1), (110, 1), (122, 1), (123, 1), (124, 1), (156, 1), (157, 1), (220, 1)]"
3,hd,"[(0, 1), (1, 1), (2, 1), (8, 1), (9, 1), (10, 2), (13, 1), (14, 1), (23, 1), (27, 1), (28, 1), (33, 1), (36, 1), (37, 1), (52, 1), (53, 1), (60, 1), (61, 1), (63, 1), (79, 1), (80, 1), (81, 1), (84, 1), (85, 1), (86, 1), (102, 1), (103, 1), (104, 1), (105, 1), (106, 1), (107, 1), (111, 1), (112, 1), (116, 1), (117, 1), (122, 1), (123, 1), (124, 1), (128, 1), (146, 1), (154, 1), (155, 1), (156, 1), (157, 1), (158, 1), (159, 1), (160, 1), (171, 1), (172, 1), (175, 1), (196, 1), (200, 2), (205, 1), (206, 1), (207, 1), (208, 1), (220, 1)]"
4,1440p,"[(0, 1)]"
5,microf,"[(0, 1), (13, 1), (14, 1), (33, 1), (34, 1), (56, 1), (57, 1), (58, 1), (59, 1), (67, 3), (122, 1), (123, 1), (124, 1), (125, 1), (131, 3), (134, 1), (148, 1), (154, 1), (155, 1), (156, 1), (157, 1), (197, 2), (200, 1), (205, 1), (206, 1), (207, 1), (208, 1), (220, 1)]"
6,stere,"[(0, 1), (20, 1), (33, 1), (58, 1), (205, 1)]"
7,pc,"[(0, 1), (1, 1), (5, 1), (7, 1), (8, 1), (9, 1), (14, 1), (19, 2), (20, 3), (23, 1), (33, 1), (34, 1), (35, 2), (36, 2), (37, 1), (40, 1), (42, 1), (49, 1), (50, 1), (56, 2), (57, 2), (58, 1), (59, 1), (64, 1), (65, 2), (66, 2), (67, 1), (68, 2), (69, 1), (70, 1), (71, 1), (72, 1), (73, 1), (74, 1), (75, 1), (76, 2), (77, 2), (78, 1), (81, 1), (82, 1), (83, 1), (85, 1), (86, 1), (87, 1), (88, 1), (93, 1), (96, 3), (98, 1), (102, 1), (103, 1), (118, 1), (120, 1), (122, 3), (123, 3), (124, 3), (125, 1), (127, 1), (128, 1), (129, 1), (130, 3), (131, 1), (132, 1), (133, 1), (147, 1), (148, 1), (152, 1), (154, 1), (155, 1), (156, 3), (157, 3), (162, 1), (166, 1), (167, 1), (168, 1), (169, 1), (170, 1), (171, 1), (172, 1), (174, 1), (177, 1), (178, 1), (181, 1), (187, 1), (195, 1), (197, 1), (198, 1), (199, 1), (200, 2), (206, 1), (207, 1), (208, 2), (209, 1), (211, 1), (217, 1), (220, 2)]"
8,laptop,"[(0, 1), (2, 1), (14, 1), (15, 1), (16, 1), (17, 1), (20, 1), (21, 1), (24, 2), (31, 1), (32, 1), (33, 1), (38, 1), (41, 1), (42, 1), (43, 1), (46, 1), (48, 1), (54, 1), (56, 1), (64, 2), (65, 1), (66, 1), (68, 1), (75, 2), (76, 1), (77, 1), (95, 1), (96, 1), (104, 1), (105, 1), (106, 1), (107, 1), (108, 1), (109, 1), (110, 1), (113, 1), (114, 1), (115, 1), (120, 1), (121, 1), (122, 1), (123, 1), (124, 1), (126, 1), (130, 1), (132, 1), (133, 2), (147, 2), (148, 1), (153, 1), (154, 1), (155, 1), (156, 1), (157, 1), (162, 1), (174, 1), (177, 1), (178, 1), (181, 1), (184, 1), (187, 1), (188, 1), (189, 1), (190, 1), (191, 1), (192, 4), (195, 1), (197, 1), (198, 1), (200, 1), (203, 1), (209, 1), (210, 1), (212, 2), (217, 1), (218, 1), (219, 1)]"
9,desktop,"[(0, 1), (1, 1), (7, 1), (14, 1), (19, 1), (20, 1), (33, 1), (50, 1), (127, 1), (128, 1), (129, 1), (141, 1), (148, 1), (166, 1), (169, 1), (170, 2), (200, 1), (220, 1)]"
10,copertur,"[(0, 1)]"
11,protezion,"[(0, 1), (49, 1), (201, 1), (203, 1)]"
12,dat,"[(0, 1), (198, 1), (215, 1)]"
13,treppi,"[(0, 1), (67, 1), (154, 1), (155, 1), (156, 1), (157, 1), (205, 1)]"
14,usb,"[(0, 1), (13, 1), (14, 1), (17, 1), (19, 1), (33, 1), (37, 1), (39, 1), (47, 1), (56, 1), (57, 1), (58, 1), (59, 2), (67, 1), (81, 1), (82, 1), (83, 1), (84, 1), (98, 1), (113, 1), (114, 1), (115, 1), (122, 1), (123, 1), (124, 1), (125, 1), (128, 1), (129, 1), (131, 1), (134, 1), (148, 1), (154, 1), (155, 1), (164, 1), (165, 1), (174, 1), (180, 1), (186, 3), (189, 1), (190, 1), (191, 1), (196, 3), (197, 1), (198, 1), (200, 1), (205, 1), (208, 1), (209, 1), (210, 1), (211, 1), (212, 1), (215, 2), (216, 1), (217, 1), (220, 1)]"
15,stream,"[(0, 1), (81, 1), (84, 1), (149, 1), (150, 1), (171, 1), (175, 1), (206, 1), (207, 1), (208, 1)]"
16,videochiam,"[(0, 1), (14, 1), (33, 1), (149, 1), (150, 1), (154, 1), (155, 1), (200, 1), (206, 1), (207, 1), (208, 1), (220, 1)]"
17,confert,"[(0, 1), (33, 1), (131, 1), (154, 1), (155, 1), (200, 1), (205, 1), (206, 1), (207, 1), (208, 1), (220, 1)]"
18,stud,"[(0, 1), (14, 1), (154, 1), (155, 1), (200, 1), (201, 1), (205, 1), (220, 1)]"
19,min,"[(1, 2), (19, 1), (20, 1), (36, 2), (37, 2), (38, 1), (118, 1), (127, 2), (128, 2), (129, 2), (132, 1), (214, 1), (215, 1)]"
20,acepc,"[(1, 1)]"
21,8gb,"[(1, 1), (38, 1), (39, 1), (45, 1), (51, 1), (63, 1), (87, 1), (89, 1), (102, 1), (103, 1), (108, 1), (109, 1), (110, 1), (114, 1), (115, 1), (118, 1), (142, 1), (143, 1), (144, 1), (158, 1), (159, 1), (167, 1), (168, 1), (169, 1), (189, 1), (190, 1), (191, 1)]"
22,ram,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (17, 1), (18, 1), (23, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (37, 1), (39, 1), (46, 1), (47, 1), (50, 1), (51, 1), (54, 1), (63, 1), (79, 1), (80, 1), (81, 1), (82, 1), (83, 1), (84, 1), (85, 1), (86, 1), (87, 1), (88, 1), (102, 1), (103, 1), (104, 1), (105, 1), (106, 1), (107, 1), (108, 1), (109, 1), (110, 1), (111, 1), (112, 1), (113, 1), (114, 1), (115, 1), (116, 1), (117, 1), (128, 1), (138, 1), (139, 1), (140, 1), (141, 1), (144, 1), (145, 1), (158, 1), (159, 1), (160, 1), (161, 1), (162, 1), (166, 1), (167, 1), (168, 1), (169, 1), (170, 1), (171, 1), (172, 1), (177, 1), (178, 1), (189, 1), (190, 1), (191, 1), (211, 1)]"
23,256gb,"[(1, 1), (2, 1), (36, 1), (39, 1), (62, 1), (79, 1), (80, 1), (87, 1), (89, 1), (90, 1), (102, 1), (103, 1), (108, 1), (109, 1), (110, 1), (113, 1), (114, 1), (118, 1), (142, 1), (143, 1), (146, 1), (189, 1), (190, 1), (191, 1)]"
24,rom,"[(1, 1), (18, 1), (37, 1), (51, 1), (54, 1), (102, 1), (103, 1)]"
25,intel,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 2), (6, 1), (7, 2), (8, 2), (9, 2), (10, 2), (12, 1), (17, 1), (23, 1), (27, 1), (28, 1), (29, 1), (36, 1), (37, 1), (39, 1), (45, 1), (46, 1), (47, 1), (50, 1), (52, 2), (53, 2), (54, 1), (83, 1), (85, 1), (86, 1), (89, 1), (90, 1), (91, 1), (92, 1), (102, 1), (103, 1), (104, 1), (105, 1), (106, 1), (107, 1), (116, 1), (117, 1), (126, 1), (127, 1), (128, 1), (129, 1), (135, 1), (136, 1), (137, 1), (138, 1), (139, 1), (140, 1), (141, 1), (142, 1), (143, 1), (144, 1), (145, 1), (146, 2), (158, 2), (159, 2), (160, 1), (161, 1), (167, 1), (168, 1), (169, 1), (170, 1), (172, 1), (176, 1), (177, 1), (178, 1), (189, 1), (190, 1), (191, 1), (211, 1)]"
26,celeron,"[(1, 1), (8, 1), (9, 1), (27, 1), (28, 1), (29, 1), (83, 1), (102, 1), (103, 1), (104, 1), (105, 1), (106, 1), (107, 1), (116, 1), (127, 1)]"
27,j4125,"[(1, 1)]"
28,support,"[(1, 1), (14, 1), (15, 1), (24, 4), (35, 1), (37, 1), (40, 3), (64, 2), (68, 4), (72, 1), (75, 3), (76, 3), (77, 3), (96, 2), (120, 3), (127, 1), (130, 2), (146, 1), (147, 3), (184, 3), (185, 3), (186, 1), (187, 1), (192, 4), (198, 3), (199, 2)]"
29,sat,"[(1, 1), (7, 1), (62, 1)]"
30,ssd,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (11, 1), (12, 1), (17, 1), (23, 1), (25, 1), (26, 1), (30, 1), (36, 1), (39, 1), (45, 1), (46, 1), (47, 1), (50, 1), (52, 1), (53, 1), (62, 1), (63, 1), (79, 1), (80, 1), (82, 1), (85, 2), (86, 2), (87, 1), (88, 1), (89, 1), (90, 1), (108, 1), (109, 1), (110, 1), (113, 1), (114, 1), (115, 1), (117, 1), (118, 1), (127, 1), (128, 1), (129, 1), (136, 1), (137, 1), (138, 1), (139, 1), (140, 1), (141, 1), (142, 1), (143, 1), (144, 1), (145, 1), (158, 1), (159, 1), (160, 2), (162, 1), (166, 1), (170, 2), (172, 1), (176, 1), (177, 1), (178, 1), (189, 1), (190, 1), (191, 1), (211, 1)]"
31,hdd,"[(1, 1), (2, 1), (23, 1), (50, 1), (51, 1), (91, 1), (92, 1), (161, 1)]"
32,window,"[(1, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (11, 1), (12, 1), (17, 1), (19, 1), (23, 1), (30, 1), (36, 1), (37, 1), (39, 1), (47, 1), (50, 1), (51, 1), (54, 1), (67, 1), (79, 1), (80, 1), (81, 1), (82, 1), (84, 1), (87, 1), (88, 1), (102, 1), (103, 1), (104, 1), (105, 1), (106, 1), (107, 1), (108, 1), (109, 1), (110, 1), (117, 1), (127, 1), (128, 1), (129, 1), (132, 1), (141, 1), (158, 1), (159, 1), (166, 1), (169, 1), (170, 1), (171, 1), (172, 1), (177, 1), (178, 1), (189, 1), (190, 1), (191, 1), (196, 1), (210, 1), (211, 1), (215, 1)]"
33,pro,"[(1, 1), (23, 1), (25, 1), (26, 1), (35, 1), (37, 1), (45, 1), (46, 1), (47, 1), (48, 1), (50, 1), (51, 1), (64, 1), (75, 1), (76, 1), (77, 1), (85, 1), (86, 1), (90, 1), (95, 2), (96, 1), (100, 3), (118, 1), (120, 1), (127, 1), (128, 1), (146, 1), (158, 1), (159, 1), (160, 1), (161, 1), (167, 1), (168, 1), (169, 1), (170, 1), (185, 1), (215, 1), (219, 1)]"
34,bit,"[(1, 1), (104, 1), (105, 1), (106, 1), (107, 1), (193, 1)]"
35,dual,"[(1, 1), (23, 1), (36, 1), (54, 1), (84, 1), (129, 1), (162, 1), (175, 1)]"
36,wif,"[(1, 1), (36, 1), (37, 1), (38, 1), (39, 1), (46, 1), (54, 1), (113, 1), (114, 1), (115, 1), (118, 1), (127, 1), (129, 1), (158, 1), (159, 1), (160, 1), (162, 1), (169, 1), (170, 1), (189, 1), (190, 1), (191, 1)]"
37,5g,"[(1, 1), (46, 1), (162, 1)]"
38,bluetooth,"[(1, 1), (36, 1), (37, 1), (87, 1), (88, 1), (132, 1), (158, 1), (159, 1), (181, 1), (189, 1), (190, 1), (191, 1), (213, 1)]"
39,4k,"[(1, 1), (36, 1), (47, 1), (63, 1), (128, 1), (186, 1)]"
40,hdmi,"[(1, 1), (2, 1), (36, 1), (37, 1), (62, 1), (81, 1), (82, 1), (84, 1), (87, 1), (88, 1), (113, 1), (114, 1), (115, 1), (127, 1), (128, 1), (129, 1), (158, 1), (159, 1), (169, 1), (186, 1), (189, 1), (190, 1), (191, 1), (196, 3)]"
41,vga,"[(1, 1), (37, 1), (127, 1), (129, 1), (159, 1)]"
42,port,"[(1, 1), (35, 2), (42, 1), (62, 1), (75, 1), (76, 1), (77, 1), (93, 1), (96, 1), (127, 1), (128, 1), (146, 1), (152, 1), (164, 1), (186, 2), (212, 1), (215, 1), (217, 1)]"
43,ak3,"[(1, 1)]"
44,cor,"[(2, 2), (3, 1), (4, 1), (5, 1), (7, 1), (10, 1), (12, 1), (23, 1), (36, 2), (38, 1), (39, 1), (45, 1), (46, 1), (50, 2), (52, 1), (53, 1), (84, 1), (85, 1), (86, 1), (90, 2), (113, 1), (114, 1), (115, 1), (117, 1), (118, 1), (126, 1), (128, 1), (129, 1), (135, 1), (136, 1), (137, 1), (138, 1), (139, 1), (140, 1), (141, 1), (142, 1), (143, 1), (144, 1), (145, 1), (158, 1), (159, 1), (160, 1), (161, 1), (167, 1), (168, 1), (169, 1), (170, 1), (176, 1), (177, 1), (178, 1), (197, 1)]"
45,acer,"[(2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (52, 1), (53, 1), (65, 1), (66, 1), (120, 1), (153, 1), (158, 1)]"
46,aspir,"[(2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1)]"
47,a315,"[(2, 1), (3, 1), (4, 1), (52, 1), (53, 1)]"
48,slim,"[(2, 1), (175, 1)]"
49,full,"[(2, 1), (8, 1), (9, 1), (10, 1), (14, 1), (33, 1), (60, 1), (61, 1), (79, 1), (80, 1), (111, 1), (112, 1), (117, 1), (154, 1), (155, 1), (158, 1), (160, 1), (200, 2), (205, 1), (206, 1), (207, 1)]"
50,quad,"[(2, 1), (10, 1), (36, 1), (38, 1), (50, 1), (118, 1), (129, 1), (158, 1), (169, 1), (177, 1), (178, 1)]"
51,i5,"[(2, 1), (3, 1), (4, 1), (5, 1), (51, 1), (62, 1), (90, 1), (118, 1), (128, 1), (141, 1), (143, 1), (144, 1), (158, 2), (161, 1), (167, 1), (168, 1), (176, 1), (211, 1)]"
52,1035g1,"[(2, 1), (5, 1)]"
53,ghz,"[(2, 1), (23, 1), (46, 1), (47, 1), (85, 1), (86, 1), (91, 1), (92, 1), (113, 1), (114, 1), (115, 1), (128, 1), (133, 1), (211, 1)]"
54,12gb,"[(2, 1), (90, 1)]"
55,1tb,"[(2, 1), (23, 1), (50, 1), (139, 1), (140, 1), (166, 1)]"
56,ethernet,"[(2, 1), (36, 1), (115, 1), (128, 1)]"
57,keypad,"[(2, 1)]"
58,win,"[(2, 1), (46, 1), (90, 1), (113, 1), (114, 1), (115, 1), (118, 1), (139, 1), (140, 1), (144, 1), (145, 1), (161, 1), (167, 1), (168, 1)]"
59,qwerti,"[(2, 1), (113, 1), (114, 1), (115, 1)]"
60,us,"[(2, 1), (113, 1), (114, 1), (115, 1)]"
61,version,"[(2, 1), (113, 1), (114, 1), (115, 1)]"
62,gb,"[(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 1), (9, 1), (10, 1), (11, 3), (12, 1), (30, 2), (45, 1), (46, 2), (47, 2), (50, 2), (52, 2), (53, 2), (54, 2), (63, 1), (79, 1), (80, 1), (81, 2), (82, 2), (83, 2), (84, 2), (85, 2), (86, 2), (88, 1), (91, 2), (92, 2), (104, 2), (105, 2), (106, 2), (107, 2), (111, 2), (112, 2), (117, 2), (128, 2), (129, 2), (136, 2), (137, 2), (141, 2), (158, 1), (160, 1), (170, 2), (172, 2), (176, 2), (177, 2), (178, 2), (211, 2)]"
63,portatil,"[(3, 1), (4, 1), (5, 1), (6, 1), (8, 1), (9, 1), (10, 1), (19, 2), (20, 1), (22, 1), (24, 1), (30, 1), (35, 1), (38, 1), (39, 1), (40, 1), (42, 1), (45, 1), (46, 1), (47, 1), (48, 1), (52, 1), (53, 1), (54, 1), (63, 1), (64, 2), (65, 2), (66, 2), (68, 2), (72, 1), (75, 1), (76, 1), (77, 1), (87, 1), (88, 1), (91, 1), (92, 1), (93, 1), (95, 1), (96, 2), (97, 1), (98, 1), (102, 2), (103, 2), (120, 1), (125, 1), (126, 1), (130, 1), (133, 1), (135, 1), (136, 1), (137, 1), (147, 2), (153, 1), (158, 1), (159, 1), (162, 1), (164, 1), (172, 1), (175, 1), (176, 1), (177, 1), (178, 1), (180, 1), (185, 3), (187, 2), (188, 1), (189, 1), (190, 1), (191, 1), (192, 2), (199, 3), (203, 1), (205, 1), (211, 1), (212, 1), (214, 2), (216, 2), (220, 1)]"
64,fhd,"[(3, 1), (4, 1), (5, 1), (7, 1), (11, 1), (12, 1), (29, 1), (39, 1), (52, 1), (53, 1), (82, 1), (83, 1), (104, 1), (105, 1), (106, 1), (107, 1), (113, 1), (114, 1), (115, 1), (138, 1), (139, 1), (140, 1), (142, 2), (143, 1), (144, 1), (145, 1), (177, 1), (178, 1)]"
65,uhd,"[(3, 1), (4, 1), (5, 1), (7, 1), (146, 1), (158, 1)]"
66,graphic,"[(3, 1), (4, 1), (23, 1), (37, 1), (52, 1), (53, 1), (146, 1), (175, 1)]"
67,10f,"[(3, 1), (4, 1)]"
68,a514,"[(5, 1)]"
69,53pb,"[(5, 1)]"
70,notebook,"[(5, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (15, 1), (16, 1), (17, 1), (27, 1), (28, 1), (29, 1), (35, 2), (39, 1), (40, 1), (42, 1), (46, 1), (54, 1), (65, 1), (66, 1), (68, 1), (75, 1), (76, 1), (77, 1), (81, 1), (84, 1), (85, 1), (86, 1), (87, 1), (88, 1), (91, 2), (92, 2), (95, 1), (96, 1), (102, 2), (103, 2), (104, 1), (105, 1), (106, 1), (107, 1), (111, 1), (112, 1), (116, 1), (117, 1), (120, 1), (138, 1), (139, 1), (140, 1), (142, 2), (143, 1), (145, 1), (147, 2), (158, 1), (159, 1), (160, 1), (161, 1), (162, 1), (176, 1), (177, 1), (178, 1), (187, 1), (188, 1), (189, 1), (190, 1), (191, 1), (192, 1), (211, 1)]"
71,processor,"[(5, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (36, 1), (37, 1), (91, 1), (92, 1), (111, 1), (112, 1), (116, 1), (117, 1), (128, 1), (129, 1), (172, 1)]"
72,ddr4,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (30, 1), (36, 1), (45, 1), (84, 1), (87, 1), (88, 1), (89, 1), (90, 1), (136, 1), (137, 1), (138, 1), (142, 1), (143, 1), (144, 1), (145, 1), (158, 1), (159, 1), (160, 1), (166, 1), (170, 1), (175, 1), (176, 1)]"
73,pci,"[(5, 1), (11, 1), (12, 1), (138, 1), (139, 1), (140, 1), (142, 1), (143, 1), (144, 1), (145, 1), (160, 1)]"
74,nvme,"[(5, 1), (11, 1), (12, 1), (85, 1), (86, 1), (90, 1), (159, 1)]"
75,display,"[(5, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (55, 1), (62, 1), (85, 1), (86, 1), (87, 1), (88, 1), (90, 1), (94, 1), (95, 1), (99, 1), (104, 1), (105, 1), (106, 1), (107, 1), (108, 1), (109, 1), (110, 1), (111, 1), (112, 1), (116, 1), (117, 1), (158, 1), (159, 1), (160, 1), (176, 1), (177, 1), (178, 1)]"
76,ip,"[(5, 1), (7, 1), (10, 1), (11, 1), (12, 1), (17, 1), (54, 1), (79, 1), (80, 1), (82, 1), (102, 1), (103, 1), (104, 1), (105, 1), (106, 1), (107, 1), (117, 1), (144, 1), (176, 1), (189, 1), (190, 1), (191, 1)]"
77,led,"[(5, 1), (8, 1), (9, 1), (11, 1), (20, 1), (85, 1), (86, 1), (99, 1), (125, 1), (160, 1), (195, 1)]"
78,lcd,"[(5, 1), (8, 1), (9, 1), (11, 1), (12, 1), (43, 1), (55, 1), (94, 1), (165, 1), (179, 1)]"
79,hom,"[(5, 1), (6, 1), (7, 1), (11, 1), (12, 1), (81, 1), (82, 1), (84, 1), (108, 1), (109, 1), (110, 1), (139, 1), (140, 1), (141, 1), (144, 1), (145, 1), (211, 1)]"
80,silver,"[(5, 1), (8, 1), (9, 1), (10, 1), (79, 1), (80, 1), (90, 1), (146, 1)]"
81,a515,"[(6, 1)]"
82,p1vi,"[(6, 1)]"
83,argent,"[(6, 1), (25, 1), (26, 1), (29, 1), (30, 1), (63, 1), (82, 1), (83, 1), (120, 1)]"
84,cm,"[(6, 1), (30, 1), (60, 1), (61, 1), (79, 1), (80, 1), (136, 1), (137, 1), (201, 1)]"
85,x,"[(6, 1), (18, 1), (47, 1), (60, 1), (61, 1), (63, 1), (65, 1), (66, 1), (102, 1), (103, 1), (126, 1), (135, 1), (136, 1), (137, 1), (146, 1), (176, 1), (201, 2)]"
86,pixel,"[(6, 1), (136, 1), (137, 1), (173, 1), (176, 1)]"
87,pentium,"[(6, 1), (10, 1), (89, 1), (129, 1), (146, 1)]"
88,gold,"[(6, 1)]"
89,wi,"[(6, 1), (47, 1), (85, 1), (86, 1), (87, 1), (88, 1), (90, 1), (128, 1), (166, 1), (176, 1)]"
90,fi,"[(6, 1), (47, 1), (85, 1), (86, 1), (87, 1), (88, 1), (90, 1), (128, 1), (166, 1), (176, 1)]"
91,s,"[(6, 1), (52, 1), (53, 1), (81, 1), (84, 1), (171, 1)]"
92,tastier,"[(6, 1), (52, 1), (53, 1), (78, 1), (90, 1), (162, 1), (181, 2), (186, 1), (189, 1), (190, 1), (191, 1), (211, 1), (214, 1)]"
93,tedesc,"[(6, 1)]"
94,c24,"[(7, 1)]"
